epoch,return_0
0,-50.25
0,-49.8375
0,-50.026875000000004
0,-49.18803125
0,-48.822379687499996
0,-48.287510703124994
0,-47.22938516796874
0,-46.580415909570306
0,-45.713895114091784
0,-45.396950358387194
0,-44.38960284046784
0,-44.295122698444445
0,-44.00536656352222
0,-43.51134823534611
0,-43.223280823578804
0,-42.268366782399866
0,-41.24869844327987
0,-40.66126352111588
0,-40.12820034506008
0,-39.82804032780708
0,-39.48038831141673
0,-39.0813688958459
0,-38.4710504510536
0,-37.978747928500916
0,-37.64231053207587
0,-37.45394500547207
0,-37.42499775519847
0,-36.97874786743855
0,-36.604810474066625
0,-36.1683199503633
0,-36.10990395284513
0,-35.666908755202876
0,-35.58356331744273
0,-35.61063515157059
0,-35.16760339399206
0,-34.852973224292455
0,-34.57282456307783
0,-34.20043333492394
0,-34.44666166817775
0,-34.280578584768854
0,-34.36654965553041
0,-34.291972172753894
0,-33.8336235641162
0,-33.76069238591039
0,-33.910157766614866
0,-33.22714987828412
0,-33.52204238436992
0,-33.40219026515142
0,-33.15083075189385
0,-32.49328921429916
0,-32.262374753584204
0,-32.31175601590499
0,-32.15866821510974
0,-31.575734804354255
0,-31.26569806413654
0,-30.614913160929714
0,-30.546667502883228
0,-30.169334127739067
0,-29.542117421352113
0,-29.583761550284507
0,-29.54207347277028
0,-29.596219799131763
0,-29.091408809175174
0,-28.543088368716415
0,-28.253433950280595
0,-28.253262252766564
0,-28.065599140128235
0,-28.312319183121826
0,-28.046703223965736
0,-27.50686806276745
0,-27.506524659629076
0,-27.874948426647624
0,-28.249951005315243
0,-28.14995345504948
0,-27.873705782297005
0,-27.880020493182155
0,-27.492269468523048
0,-27.242655995096893
0,-27.043023195342048
0,-26.884622035574946
0,-26.7403909337962
0,-26.02212138710639
0,-25.79601531775107
0,-25.287464551863515
0,-25.01684132427034
0,-25.159749258056824
0,-25.30801179515398
0,-25.12386120539628
0,-24.923918145126468
0,-24.977722237870143
0,-24.728836125976635
0,-24.548644319677805
0,-24.146212103693912
0,-23.676401498509215
0,-23.223831423583754
0,-22.587639852404568
0,-22.48325785978434
0,-22.396594966795124
0,-22.59551521845537
0,-22.4157394575326
0,-22.35745248465597
0,-22.02082986042317
0,-21.913538367402012
0,-21.87411144903191
0,-22.061655876580314
0,-22.396073082751297
0,-22.37001942861373
0,-22.42026845718304
0,-22.17425503432389
0,-22.115542282607695
0,-22.21601516847731
0,-22.561464410053443
0,-22.27089118955077
0,-22.619846630073233
0,-22.97635429856957
0,-22.415036583641093
0,-21.87553475445904
0,-21.594258016736088
0,-21.445795115899283
0,-21.029755360104318
0,-21.390767592099103
0,-21.58372921249415
0,-21.79829275186944
0,-22.008378114275967
0,-22.41420920856217
0,-21.92474874813406
0,-21.859761310727357
0,-21.86052324519099
0,-21.49249708293144
0,-21.561622228784866
0,-21.839791117345627
0,-21.972801561478345
0,-21.80541148340443
0,-21.89014090923421
0,-21.9081338637725
0,-22.268977170583874
0,-21.905528312054678
0,-22.047751896451942
0,-21.601614301629343
0,-21.734033586547877
0,-21.341081907220484
0,-20.98652781185946
0,-21.02470142126649
0,-21.704716350203167
0,-21.37573053269301
0,-21.86319400605836
0,-21.42628430575544
0,-21.29872009046767
0,-21.746284085944286
0,-21.86521988164707
0,-21.940708887564718
0,-21.993673443186484
0,-21.50648977102716
0,-21.7561652824758
0,-21.96835701835201
0,-21.788689167434406
0,-21.668004709062686
0,-21.478354473609553
0,-21.429436749929078
0,-21.757964912432627
0,-21.482566666810996
0,-20.977188333470448
0,-20.503328916796924
0,-20.35941247095708
0,-20.553941847409227
0,-20.738744755038766
0,-20.66430751728683
0,-21.13109214142249
0,-21.368287534351367
0,-21.4498731576338
0,-21.43362949975211
0,-21.836948024764506
0,-21.863850623526282
0,-21.82690809234997
0,-21.223062687732472
0,-20.805659553345848
0,-20.802876575678557
0,-20.62523274689463
0,-20.193971109549896
0,-20.3280225540724
0,-20.40537142636878
0,-20.866352855050344
0,-21.129285212297827
0,-21.272820951682938
0,-21.25292990409879
0,-21.096533408893848
0,-21.679206738449157
0,-21.5514964015267
0,-21.280171581450364
0,-21.478663002377843
0,-21.74222985225895
0,-21.367618359646006
0,-21.442987441663703
0,-21.90208806958052
